gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min
46,9,27,-10
-34,-32,-47,-45
-43,-5,-59,-21
-54,-65,-66,-72
87,15,67,-3
8,53,-4,45
-19,-12,-35,-22
-48,-56,-57,-65
42,20,28,7
5,-41,-8,-58
15,40,-2,27
9,12,0,-2
-62,-39,-83,-51
14,-48,-3,-65
2,-20,-9,-30
-28,-25,-42,-40
37,51,30,49
-29,26,-45,12
42,20,28,11
-33,-70,-45,-90
-26,-2,-38,-16
-26,-42,-40,-53
-40,-20,-52,-31
38,26,23,10
-3,-58,-18,-71
19,23,0,12
-72,-65,-81,-74
-29,-7,-40,-19
-61,-34,-68,-39
-51,-60,-64,-72
14,23,0,14
-29,-9,-40,-19
22,-48,12,-60
-34,-38,-47,-48
16,0,5,-12
-29,-2,-43,-19
10,-65,-3,-72
-82,-66,-88,-77
58,-10,37,-22
-15,10,-27,-5
-46,-29,-54,-41
-33,-69,-45,-79
46,18,28,1
-14,27,-21,18
-41,-13,-58,-24
-27,-23,-40,-33
-70,-65,-81,-74
-75,-24,-82,-36
41,40,28,20
-37,6,-59,-7
19,35,-2,18
4,-20,-9,-32
-12,-58,-18,-74
-2,-3,-17,-16
1,6,-13,-6
-40,-82,-59,-90
130,56,130,56
56,38,44,15
-68,-37,-80,-51
-17,-35,-31,-49
-11,-26,-23,-34
37,51,30,42
-31,38,-43,23
-28,16,-45,4
11,-33,2,-45
27,10,9,-1
-69,-50,-83,-64
-40,-56,-55,-64
66,98,59,86
-18,10,-27,-5
-2,-4,-17,-16
9,6,-3,-2
27,10,14,-1
-64,-54,-82,-64
-28,-7,-40,-20
74,79,62,63
16,2,5,-10
-14,27,-21,15
-17,-35,-27,-49
-77,-65,-85,-74
-39,-40,-47,-48
-20,12,-36,-2
-49,-34,-61,-45
-21,-22,-33,-36
15,-28,-1,-42
19,23,3,14
-37,6,-51,-10
74,1,67,-3
-57,-24,-68,-34
-45,-69,-59,-78
-7,-81,-14,-85
37,-58,21,-65
-2,-6,-17,-16
56,38,41,18
15,40,0,27
-3,6,-15,-4
-68,-37,-83,-51
-34,-21,-41,-29
-34,38,-34,38
-24,-65,-38,-79
15,-12,-2,-22
87,15,75,8
-43,-48,-54,-56
41,40,31,26
15,35,-2,22
98,32,91,20
110,19,101,0
46,18,33,1
15,35,-2,21
-2,-7,-17,-16
5,4,-6,-6
20,9,7,-1
4,30,-4,20
-39,-40,-49,-50
102,32,91,19
-11,-27,-22,-35
-34,-32,-49,-45
34,42,31,32
9,6,0,-2
-65,-72,-73,-85
-60,-51,-70,-63
-46,-29,-54,-35
-70,-64,-81,-74
-26,-47,-35,-53
-12,-68,-18,-74
-68,-37,-80,-50
-71,-50,-83,-62
-40,-59,-55,-64
-73,-50,-83,-61
-27,-21,-41,-29
20,9,9,-1
-62,-57,-73,-65
65,61,60,57
19,-28,5,-42
-14,27,-21,10
56,18,52,15
18,-70,4,-82
-14,-52,-33,-65
-58,-42,-69,-53
58,-16,50,-22
42,18,33,11
83,87,74,74
-49,-56,-60,-65
37,9,25,3
-6,6,-15,-4
98,36,86,26
-24,-14,-35,-26
15,46,7,35
-15,-68,-26,-75
-72,-65,-82,-76
-57,-24,-68,-37
37,-58,24,-65
56,38,47,27
51,-20,50,-22
-40,6,-51,-6
-47,-34,-61,-45
-11,40,-34,35
6,22,0,9
55,52,49,49
-40,-78,-59,-90
-27,-29,-37,-39
-54,-46,-67,-54
18,-75,12,-82
66,98,59,92
101,15,81,0
8,-45,-4,-58
-17,27,-31,18
-29,-6,-43,-19
-18,10,-23,4
-47,-31,-54,-41
-40,-17,-52,-29
15,35,0,23
98,32,91,26
110,20,98,13
-60,-54,-68,-61
14,22,0,12
-28,-7,-40,-19
-47,-29,-54,-40
-15,-68,-30,-75
37,51,30,36
37,10,23,3
-37,26,-45,12
3,53,-4,47
-9,3,-19,-8
-72,-65,-81,-76
-66,-85,-70,-92
-5,18,-16,13
-20,40,-23,37
-39,-43,-48,-48
26,-51,13,-62
97,95,79,88
14,-48,4,-55
-34,-32,-42,-42
-24,-65,-30,-75
-58,15,-68,15
5,14,-5,6
-28,-12,-40,-19
31,10,17,3
-40,-55,-48,-64
-62,-55,-73,-64
-2,-16,-16,-26
-65,-74,-76,-81
-28,16,-38,6
-17,-38,-27,-49
-58,-46,-70,-54
11,-38,2,-45
15,35,-2,27
-14,-58,-26,-75
-40,-40,-48,-48
-37,1,-48,-10
20,5,5,-5
-61,-24,-75,-30
-54,-69,-66,-72
97,88,97,88
-70,-65,-81,-73
15,-18,6,-28
-14,-27,-23,-35
-5,19,-16,13
-82,-66,-88,-76
33,32,28,20
-28,-29,-37,-39
8,-47,-8,-58
-47,-13,-58,-24
-51,-59,-60,-65
69,67,60,57
-18,10,-23,-3
44,-45,44,-45
-25,-58,-33,-65
64,86,62,74
-30,-69,-45,-79
-48,-50,-54,-56
-5,-32,-13,-44
-78,-28,-82,-40
61,-38,60,-42
-53,-82,-59,-90
-34,-21,-46,-32
19,23,11,18
-34,-35,-42,-44
-26,-2,-38,-11
7,-28,-1,-33
4,12,-6,1
8,22,-4,14
-2,-6,-17,-11
-33,13,-46,4
-7,-74,-14,-85
-49,-29,-62,-35
-19,-14,-30,-26
87,95,74,78
-51,-1,-59,-7
-50,-38,-61,-45
-65,-57,-76,-65
9,2,5,-7
-14,-58,-28,-65
-32,-2,-43,-11
0,30,-4,22
-50,-38,-61,-48
-2,-20,-14,-26
-18,12,-30,4
-32,-6,-43,-11
-18,10,-30,4
-41,6,-51,-6
-2,-3,-17,-11
-11,-27,-23,-34
-34,38,-43,26
-28,23,-45,9
-16,-14,-26,-22
44,-38,19,-45
42,18,28,4
-7,-32,-14,-38
-70,-50,-83,-58
1,4,-6,-6
99,43,86,32
-3,-65,-18,-74
-50,-35,-61,-45
0,30,-2,28
-23,0,-32,-5
15,-28,15,-28
-22,-32,-31,-39
-33,13,-46,1
-35,-16,-41,-24
-39,-29,-49,-40
15,35,6,27
-23,12,-38,4
97,95,87,88
-79,-65,-85,-69
14,-48,0,-58
-28,-9,-33,-17
46,3,37,-10
83,92,74,78
-2,0,-9,-11
98,36,86,20
-23,53,-25,47
-70,-62,-77,-70
34,10,23,3
-33,-70,-45,-79
-54,-5,-59,-14
0,22,-6,11
34,42,31,36
87,15,81,11
-70,-50,-83,-61
30,-30,30,-32
-2,-16,-11,-26
-34,-19,-41,-29
-50,-24,-63,-34
-18,6,-32,-5
-66,-71,-79,-78
-37,6,-51,-4
-40,-55,-49,-64
-45,15,-68,13
99,38,91,26
-50,-35,-59,-45
-2,-16,-14,-26
-18,8,-27,-5
20,9,14,-1
-62,-55,-71,-65
22,-48,14,-56
-33,-59,-44,-71
-72,-65,-79,-76
4,-45,-8,-52
95,70,83,65
-30,-21,-41,-27
-10,19,-20,10
5,-65,-3,-72
-17,-39,-26,-49
15,35,6,22
-57,-24,-75,-32
-53,-82,-67,-92
-6,-1,-17,-11
-15,-65,-33,-75
-28,23,-35,9
-48,-59,-60,-65
-69,-57,-82,-64
-23,-20,-30,-28
87,95,79,87
12,-48,-4,-58
-6,0,-17,-8
-39,-40,-48,-48
-54,-69,-64,-72
14,-38,2,-48
75,43,69,39
-40,-40,-47,-48
14,-48,0,-55
-72,-65,-82,-74
-24,-20,-30,-26
56,38,41,27
-54,-65,-64,-72
-47,-7,-59,-24
69,74,62,67
-68,-37,-80,-47
15,-14,6,-28
-31,26,-43,23
-24,-69,-38,-79
0,22,-6,18
-30,6,-37,-2
5,1,-6,-11
-60,-55,-73,-65
18,-70,10,-82
75,8,67,-3
0,-40,-10,-52
27,-38,19,-42
-23,53,-34,38
-58,-46,-67,-54
69,63,60,57
-40,-29,-51,-34
-65,-72,-76,-81
-8,-26,-21,-34
9,6,-3,-6
-28,12,-36,4
-46,-17,-52,-31
-24,-71,-33,-79
-28,-9,-38,-17
83,79,74,74
-68,-42,-74,-51
63,-12,58,-16
34,42,31,31
-31,-27,-42,-33
-37,15,-46,5
41,42,31,30
-5,-38,-10,-47
83,79,62,74
-19,-14,-33,-22
-72,-67,-79,-76
-5,18,-16,11
15,40,6,27
-35,-19,-41,-29
14,-45,-4,-58
-18,-25,-27,-35
-73,-50,-83,-65
-67,-24,-82,-30
-3,6,-13,-4
-30,-69,-38,-79
-37,1,-51,-6
4,-25,-3,-32
19,23,8,18
-2,-6,-5,-16
-65,-77,-73,-85
14,-48,5,-60
63,-12,63,-12
-28,12,-36,-2
6,22,-4,12
-57,-45,-63,-49
-11,-27,-15,-34
-47,-14,-52,-24
-26,-69,-38,-79
-5,18,-11,6
75,24,72,8
-65,-58,-73,-65
-14,-11,-22,-20
-75,-65,-85,-69
99,43,94,38
5,-58,-3,-65
11,-33,2,-42
-6,4,-17,-8
-12,-68,-24,-75
-61,-24,-75,-32
9,9,-3,-2
-68,-46,-74,-54
-24,-16,-35,-26
46,9,27,1
-47,-40,-53,-45
5,-45,-8,-52
4,-28,-1,-32
11,33,-2,22
-66,-68,-79,-78
8,22,0,14
0,-47,-14,-58
-2,-4,-6,-11
-42,-29,-51,-34
-41,13,-51,-1
56,38,44,23
-64,-57,-73,-65
-7,-32,-14,-35
-68,-37,-68,-39
22,-48,14,-60
-11,37,-20,35
101,0,101,0
15,2,5,-7
-18,4,-27,-5
-65,-78,-70,-92
-48,-48,-60,-56
-38,-6,-49,-16
-14,27,-31,18
-30,6,-36,4
-72,-65,-81,-72
-47,-17,-52,-24
-61,-51,-70,-57
1,18,-11,11
16,-8,6,-16
41,32,31,26
64,89,46,85
-40,-55,-44,-64
-32,5,-40,-2
-64,-71,-66,-72
30,-30,19,-38
-5,-35,-12,-44
6,17,3,14
-31,-6,-38,-12
-32,-23,-42,-33
-6,14,-20,3
-80,-72,-88,-77
-20,40,-34,37
-69,-57,-78,-65
-42,-45,-54,-56
26,-58,21,-62
-48,0,-56,-5
-11,-27,-21,-34
-68,-37,-80,-46
16,-4,7,-10
-48,-59,-57,-65
-41,-17,-52,-24
-70,-47,-83,-54
-13,-3,-19,-16
-41,13,-46,-1
46,4,34,-10
1,18,-6,9
-15,8,-27,-5
-2,0,-10,-11
-34,-35,-47,-45
-58,-52,-68,-55
-77,-57,-85,-69
17,-48,5,-60
12,-10,6,-16
-65,-77,-75,-85
-60,-57,-68,-61
5,-58,-14,-65
31,10,23,3
4,6,0,1
10,69,10,69
-18,-68,-33,-75
9,2,5,-2
-54,-7,-59,-14
27,-42,22,-52
-54,-69,-59,-72
-40,-90,-40,-90
-14,-14,-22,-20
-65,-50,-74,-57
99,43,94,32
-28,16,-45,6
-13,-7,-22,-20
1,18,-11,6
-14,-58,-33,-65
-64,-58,-73,-65
99,43,86,35
-37,6,-48,-6
-40,-59,-48,-64
-15,-11,-22,-19
-11,40,-23,35
10,-65,4,-72
-68,-37,-72,-50
-14,-27,-22,-35
-43,-50,-54,-56
44,32,31,23
-24,-69,-26,-75
14,-48,5,-55
-68,-58,-73,-65
-46,-29,-59,-35
-29,26,-43,11
-14,-50,-28,-60
-37,1,-51,-10
-18,-28,-23,-35
16,-4,9,-14
-58,-52,-68,-59
-47,-35,-54,-41
15,35,6,23
-30,-47,-35,-53
-13,-3,-17,-11
1,4,-6,0
56,33,44,23
-20,-35,-31,-44
-7,-32,-17,-39
-29,16,-45,9
-73,-57,-82,-61
-57,-24,-61,-31
-40,-43,-48,-48
-58,-46,-63,-54
14,-48,4,-60
-40,0,-51,-10
15,-22,13,-28
-33,-75,-45,-90
87,95,74,79
10,33,0,27
44,30,41,23
-13,4,-23,-7
-67,-46,-83,-54
-14,-27,-23,-32
-66,-68,-79,-76
6,17,-5,6
-62,-54,-70,-61
16,-8,9,-14
33,-58,21,-62
-28,-9,-40,-19
-26,4,-37,-7
-8,-44,-10,-47
-2,-1,-14,-11
-10,15,-23,6
34,40,31,26
-80,-36,-80,-40
-35,15,-45,12
-24,-69,-38,-75
-69,-57,-82,-65
4,28,-6,18
-36,-21,-41,-29
-6,6,-15,-2
-45,-78,-45,-78
31,26,28,20
-75,-50,-83,-65
-50,-24,-63,-35
-8,-20,-15,-28
97,36,86,29
-31,-7,-43,-16
-5,-35,-10,-44
-18,2,-27,-5
-65,-72,-75,-81
6,22,0,12
-49,-13,-58,-17
-17,27,-21,18
-32,6,-48,-2
9,9,0,-2
-37,-35,-47,-40
-85,-72,-88,-77
10,33,6,27
-75,-24,-82,-30
37,-10,37,-10
46,7,31,1
-6,6,-13,0
-28,-27,-35,-33
-67,-47,-74,-54
47,38,47,38
16,-5,7,-14
28,10,17,3
27,74,27,74
-9,0,-17,-8
34,40,31,31
-36,-4,-44,-10
-72,-67,-79,-73
-2,0,-6,-11
-35,-16,-41,-25
-62,-54,-68,-61
82,54,75,47
20,5,14,-4
91,36,86,29
-31,-7,-43,-12
13,-60,-3,-72
-27,-24,-37,-33
-72,-67,-76,-74
37,-65,34,-65
-29,16,-45,12
28,22,14,18
-27,-32,-31,-39
-62,-51,-73,-57
82,54,82,54
-4,22,-6,18
-66,-67,-78,-76
-14,-58,-14,-58
16,-5,6,-16
-2,-20,-11,-26
8,-45,-4,-55
-13,-7,-17,-11
99,43,91,26
-41,13,-46,5
-57,-29,-63,-38
62,74,62,74
9,6,1,-2
-17,-39,-24,-49
0,6,-9,0
-37,-32,-42,-40
-32,-1,-43,-10
-79,-72,-88,-77
75,8,75,8
-68,-37,-71,-46
-76,-50,-83,-58
-5,-40,-10,-47
-28,-27,-37,-33
-9,4,-15,-3
-2,-4,-6,-16
-35,-16,-41,-29
95,68,95,68
-28,-11,-33,-17
-50,-39,-59,-45
-65,-77,-75,-81
87,79,74,65
46,4,34,1
-27,-36,-31,-39
37,20,28,13
-56,-38,-61,-43
-65,-72,-73,-81
6,22,-4,14
12,-12,6,-20
-25,-58,-33,-61
14,-45,-4,-55
56,38,47,29
-43,26,-43,26
102,26,98,19
-5,-35,-12,-41
-29,23,-38,11
-35,-27,-42,-33
33,32,31,26
-28,-14,-33,-20
-14,19,-20,15
-26,-36,-34,-43
-68,-39,-72,-51
-6,0,-17,-11
7,6,-3,-2
-61,-24,-67,-26
42,13,38,11
8,-16,6,-20
-32,-1,-38,-10
-72,-72,-80,-78
5,-65,-3,-65
-33,-69,-38,-75
-49,-13,-54,-17
74,86,62,74
-49,-29,-59,-35
0,9,-9,0
-62,-32,-68,-39
-39,-43,-47,-48
-45,-78,-59,-90
-35,-16,-40,-19
22,-51,22,-52
15,-18,12,-28
-5,-38,-10,-44
-11,19,-20,14
44,23,37,18
-81,-65,-85,-69
-28,-11,-33,-20
-46,-20,-52,-29
-26,-22,-34,-31
-82,-72,-88,-77
-67,-92,-67,-92
-28,16,-38,11
-62,-52,-68,-59
1,22,-10,11
-56,-38,-61,-45
-56,-5,-59,-14
-61,-24,-68,-30
-72,-65,-79,-71
-48,-48,-54,-56
-31,-7,-38,-12
-43,1,-51,-6
110,13,110,13
34,42,31,39
-15,2,-27,-5
-13,-28,-23,-34
37,18,33,13
-42,-45,-52,-53
-2,0,-10,-6
-72,-65,-77,-72
-28,-14,-33,-17
-29,23,-37,15
20,0,15,-4
-68,-37,-72,-47
-3,-22,-11,-26
-6,6,-13,3
-73,-73,-80,-78
-46,-40,-53,-45
-31,-9,-40,-16
-35,-19,-41,-27
-34,-35,-42,-45
16,-4,9,-12
-34,-23,-40,-29
-68,-37,-69,-46
-26,-36,-31,-43
-37,-32,-47,-40
-72,-69,-80,-78
5,-58,-3,-72
75,16,72,8
-41,6,-46,1
22,-48,12,-52
-77,-65,-85,-69
-67,-46,-74,-52
-62,-55,-71,-61
-29,26,-43,16
-31,-27,-40,-33
4,22,-4,20
-49,-14,-50,-17
-47,-20,-52,-24
-42,-43,-48,-48
-69,-61,-75,-68
-40,-1,-44,-10
11,31,8,22
-34,-42,-40,-53
75,24,65,24
83,65,82,54
65,18,52,15
-26,-48,-30,-52
26,-56,13,-62
8,46,7,45
-2,-10,-5,-20
6,33,-2,28
-57,-29,-68,-34
-6,6,-15,0
-62,-55,-68,-61
-36,-21,-41,-27
-16,15,-23,6
-72,-67,-79,-74
-9,-32,-14,-38
-44,0,-51,-6
-6,6,-15,-3
-54,-82,-59,-85
-24,-14,-35,-22
-2,-44,-14,-58
-24,-65,-33,-75
-68,-39,-71,-46
5,-40,2,-45
-41,13,-48,-1
26,-51,21,-62
-69,-57,-76,-65
75,24,65,18
4,12,-5,6
64,86,64,86
-32,-7,-43,-11
-48,-50,-58,-56
97,32,91,29
-4,-47,-14,-58
12,46,7,40
-61,-37,-68,-39
-75,-73,-82,-78
-34,-40,-40,-45
7,9,0,-2
-17,-39,-26,-45
-28,16,-38,9
-24,-69,-30,-75
-3,11,-9,0
4,-20,-3,-32
-46,-29,-51,-34
17,-48,12,-60
10,-70,10,-70
-42,-40,-48,-48
-28,-12,-33,-17
69,39,69,39
-72,-72,-78,-78
13,-60,13,-60
80,92,79,87
-14,-49,-18,-58
-32,-1,-40,-6
-33,-79,-33,-79
-17,27,-21,23
75,24,75,24
33,-58,33,-58
-79,-74,-83,-78
-24,-69,-33,-75
-43,-10,-54,-17
-70,-50,-83,-54
-72,-65,-81,-71
0,18,-11,9
-17,-35,-26,-45
-32,-25,-40,-33
-57,-29,-68,-38
-61,-52,-68,-57
-23,-2,-32,-5
12,-50,4,-55
-66,-72,-76,-78
-24,-69,-33,-79
12,-7,6,-16
-11,-27,-23,-35
72,24,65,16
-18,-45,-19,-49
-38,-10,-43,-16
-40,-78,-45,-90
-61,-34,-69,-43
-18,10,-23,6
-51,-59,-57,-65
-27,-36,-34,-42
5,1,-6,-4
-40,1,-51,-6
-17,27,-31,23
-75,-24,-82,-40
-28,-12,-35,-19
46,1,46,1
44,23,28,14
-38,-4,-44,-16
-69,-61,-73,-68
-5,-32,-14,-38
110,13,101,0
-9,3,-15,-3
-59,-32,-62,-39
6,22,1,12
-68,-37,-69,-43
-6,0,-14,-4
-36,-16,-41,-29
0,-58,-3,-65
12,2,5,-7
-14,19,-20,10
-49,-13,-58,-14
8,-45,0,-55
-23,16,-32,6
-72,-72,-80,-76
-15,0,-21,-3
-37,-35,-42,-40
-28,16,-32,9
-58,-52,-67,-57
87,95,87,95
15,-82,15,-82
-43,1,-51,-1
-11,-32,-14,-34
-2,-16,-5,-25
1,22,-6,11
-70,-62,-77,-68
-17,-35,-27,-45
-28,-29,-37,-37
11,28,8,22
16,-4,12,-10
-31,-9,-33,-12
37,7,31,3
17,-56,13,-60
37,51,34,50
-35,15,-38,12
-20,-40,-26,-44
56,33,49,27
-58,-46,-63,-49
-39,-32,-42,-39
13,-7,7,-14
-9,-32,-17,-39
-5,18,-11,11
0,-47,-8,-52
17,9,9,2
-60,-57,-62,-61
-3,0,-10,-4
-34,-38,-42,-45
-32,-6,-38,-11
11,-33,6,-38
-72,-69,-79,-74
-73,-54,-78,-61
-33,-16,-40,-19
-18,8,-23,0
69,67,69,63
8,-16,-2,-20
-58,15,-58,15
-58,-52,-65,-55
20,4,15,-4
-13,0,-19,-3
-31,23,-31,23
-57,-29,-63,-34
44,23,33,13
17,-52,12,-60
-73,-54,-82,-61
-43,-4,-44,-10
-72,-69,-79,-76
-33,-69,-38,-71
-26,-48,-35,-53
8,53,3,45
-28,-29,-37,-33
8,22,0,20
-28,16,-32,6
-6,0,-15,-4
88,36,86,35
-54,-82,-54,-82
-68,-57,-71,-63
-55,-65,-57,-65
74,79,74,79
37,4,34,3
41,36,31,30
-79,-74,-86,-78
-68,-46,-74,-51
-17,-35,-26,-44
-18,-28,-23,-32
6,17,0,9
102,20,98,19
-40,6,-48,-1
8,-45,4,-55
-60,-57,-66,-61
18,9,14,3
-70,-62,-81,-68
-34,-40,-40,-47
12,-50,0,-58
-26,-65,-26,-69
55,38,47,32
-48,0,-51,-1
-73,-54,-76,-58
-19,-14,-22,-16
6,17,1,12
-36,-6,-43,-16
-2,-16,-5,-20
-42,-61,-48,-64
-18,10,-23,2
-18,-49,-27,-52
-39,-44,-42,-48
22,-48,14,-52
-17,-35,-24,-45
