seismoacoustic,genergy,gplus,gdenergy,gdpuls,bumps,bumps2,hazard,shift,predictions,distances
0,9150,257,-11,-26,0,0,0,0,1,2.86672022939943
0,202640,588,-33,-41,2,1,0,1,1,5.436982227776067
1,546980,2212,-3,-7,1,1,0,1,1,0.39842754642766565
0,3610,16,-69,-60,0,0,0,0,1,1.0331353874648777
0,160350,828,-31,23,0,0,0,0,1,2.0962926028198723
0,6260,98,-26,-42,0,0,0,0,1,2.2155470071500822
0,10080,349,11,40,1,0,0,1,1,3.4896534270070276
1,100960,1183,244,138,1,1,1,1,1,0.5651457684868042
0,22220,415,-5,-11,1,0,0,1,1,4.3630264541209165
0,11690,235,-48,-52,0,0,0,1,1,1.7104853784057497
0,6040,112,-44,-24,2,1,0,0,1,3.2422704294491105
0,71080,767,88,94,5,3,0,1,-1,-0.8856168715315995
0,16130,322,2,2,0,0,0,1,1,2.791579982081572
0,4190,25,22,-38,0,0,0,0,1,1.8145593029086946
0,9670,186,-59,-7,0,0,0,0,1,1.7623261092508002
0,60710,782,92,79,3,1,0,1,1,3.653197320240139
0,465730,1325,-7,-12,1,0,0,1,1,3.0256435803776647
1,59950,865,19,18,1,1,0,1,1,6.8020066959785765
0,12080,310,-22,10,1,0,0,1,1,3.6110478254623892
1,16000,313,-38,-36,0,0,0,1,1,3.1160747199538967
0,18590,320,-34,-31,0,0,0,1,1,2.393173187134682
0,35570,505,25,9,0,0,0,1,1,3.2778005881430694
0,22480,508,227,195,0,0,0,0,-1,-0.2517611205437653
0,80210,525,18,32,3,1,0,1,1,5.416428696085763
0,4230,48,-92,-85,0,0,0,0,-1,-0.10813587945477465
0,9360,157,-69,-68,0,0,0,1,1,0.7458664904176437
0,10910,269,-30,-5,1,0,0,1,1,3.57264445031241
0,779850,2999,35,38,2,1,0,1,-1,-1.623690642019156
1,108260,891,-12,-7,5,3,0,1,1,1.5054176215238577
0,2290,6,-7,-85,0,0,0,0,1,0.6051121014832397
0,15470,286,163,12,0,0,0,1,1,0.2647345270715533
0,27230,430,-14,-18,0,0,0,1,1,2.896264580978869
1,156780,1301,10,6,4,3,0,1,1,1.1664127161866062
1,60460,191,56,29,0,0,0,0,1,3.730993306290088
0,127360,351,-54,-53,1,1,0,1,1,3.526808290776845
1,20910,546,179,233,0,0,1,1,-1,-0.47841350848533537
0,27540,291,28,-24,0,0,0,1,1,2.678979423489128
0,7340,213,-19,-28,0,0,0,0,1,2.7060810522319585
1,225040,575,-3,5,2,0,0,1,1,5.660062084737948
0,20740,510,66,104,0,0,0,0,1,1.5317664387688943
0,76490,1203,484,367,0,0,1,1,-1,-14.283465190823073
0,12170,226,30,-30,0,0,0,0,1,2.601489118183828
0,5310,287,-58,15,0,0,0,0,1,1.4136339213556965
1,4650,104,-62,-57,0,0,0,0,1,1.5846893477977844
0,7040,37,-8,-26,2,1,0,0,1,3.2636429205304864
1,24650,391,-30,-30,0,0,0,1,1,3.6008801805757997
1,28440,405,-19,-27,0,0,0,1,1,3.8922545522137924
0,6470,98,-7,-41,0,0,0,0,1,2.280415612691943
0,19390,469,-39,10,0,0,0,1,1,2.1348117963894957
0,37490,224,-70,-51,0,0,0,0,1,1.7698714802451505
1,64200,198,86,35,1,1,0,0,1,4.213112608166647
0,6910,25,-85,-66,0,0,0,0,1,0.5474851924409094
1,7860,165,-21,-28,0,0,0,0,1,3.1398324444102954
0,443740,1321,20,10,0,0,0,1,1,1.7795127265866917
0,25200,318,-20,-40,1,0,0,1,1,3.806126869249681
0,9790,422,-4,-6,0,0,0,1,1,2.8977125915613975
0,1650,21,-79,-69,0,0,0,0,1,0.617931967354771
1,58410,113,84,88,0,0,0,0,1,2.2417603847613172
0,782750,1593,9,-17,2,0,0,1,1,1.7766123079571265
1,9380,234,-13,-3,0,0,0,0,1,3.650624355575122
1,12300,424,34,39,0,0,0,0,1,4.344200491437952
1,11660,330,26,49,0,0,0,0,1,3.7832993139470794
1,53730,1444,116,117,1,0,0,1,1,3.084254524894636
0,114540,488,-23,0,2,0,0,0,1,3.7341482723285857
0,10850,131,55,49,0,0,0,0,1,1.7237985013638841
0,8210,247,-44,-23,0,0,0,1,1,2.043252389588268
1,10150,326,-25,-3,0,0,1,1,1,3.906480933618653
0,30650,80,38,66,1,1,0,0,1,1.6286380460110763
0,5440,126,-18,-28,1,1,0,0,1,3.404619160095681
0,29690,636,-10,18,1,1,0,1,1,4.690799122925732
0,45350,469,14,21,4,1,0,1,1,3.455546561628026
0,20090,74,-78,-62,0,0,0,1,1,0.47277868104443144
2,52680,985,33,60,1,0,2,1,1,0.3692245598095525
1,211440,403,24,38,4,2,0,1,1,4.505717725032753
0,13960,36,-85,-74,0,0,0,0,1,0.4206157315030552
0,30650,424,29,-8,1,0,0,1,1,4.494866844039226
0,163510,1534,13,23,2,0,0,1,1,2.5230794014154725
1,32670,476,103,95,1,1,0,1,1,4.777385133157225
1,4120,67,-40,-59,0,0,0,0,1,1.7893488436689253
0,325750,1068,50,67,1,0,0,1,1,3.932340089767095
0,23190,368,-22,-27,0,0,0,1,1,2.6753928411112646
0,2410,39,-52,-24,0,0,0,0,1,1.6582165880889335
0,96080,433,60,92,0,0,0,0,1,1.8655463959750733
0,3280,40,-41,-23,1,1,0,0,1,2.71760924861578
1,17300,367,-40,-27,0,0,0,1,1,3.355642401735043
0,14580,321,-60,-47,0,0,0,1,1,1.6674522469155342
0,31250,430,-16,2,3,0,0,1,1,1.8767818533232479
1,13880,507,-22,11,0,0,0,1,1,4.119174856998907
0,14000,160,81,-20,0,0,0,0,1,1.585874931733077
0,21050,458,72,70,1,0,0,1,1,3.550095820113853
0,8960,28,-71,-51,0,0,0,0,1,1.1712730656157646
1,45650,664,55,34,0,0,1,1,1,5.850575661023711
0,14610,373,56,15,0,0,0,0,1,3.000400941707916
0,6220,76,-26,-65,0,0,0,0,1,1.6729589015866004
0,40070,501,16,-11,0,0,0,1,1,3.2320932328293566
0,16290,463,-4,-17,1,0,0,1,1,4.359781286770673
1,19420,60,98,20,0,0,0,0,1,2.176438428320182
0,28570,336,3,-13,1,0,0,1,1,4.292208051040507
0,2260,17,-29,-58,0,0,0,0,1,1.614738967239962
0,22470,307,98,26,1,1,0,0,1,3.017204135653337
1,10920,136,58,-16,1,1,0,0,1,3.644918076184826
0,6020,129,-71,-64,0,0,0,1,1,0.7155846354897193
1,45450,491,63,2,1,1,0,1,1,6.205219767685872
1,57040,754,99,52,1,0,0,1,1,6.418350121262819
0,20380,162,-58,-59,2,1,0,1,1,3.0032537869898093
0,59210,175,-54,-61,0,0,0,0,1,1.896174295324343
1,14040,408,49,29,0,0,0,0,1,4.449085477942898
0,4760,35,-94,-73,0,0,0,0,1,0.13953966660311679
1,60340,495,68,96,5,3,0,1,-1,-0.8648220863009932
1,10210,394,169,251,0,0,0,0,-1,-2.2284002622927517
0,49440,491,56,-7,3,1,0,1,1,4.87877669357194
0,5020,32,77,-20,0,0,0,0,1,1.0918918883958817
0,1070,10,-64,-75,0,0,0,0,1,0.7531580284617547
0,720,2,-62,-95,0,0,0,0,1,0.018712204961374823
0,5930,31,-26,-22,0,0,0,0,1,2.0321533750906156
0,58720,513,175,8,0,0,0,1,1,0.38058439371566166
0,71650,1173,-53,-40,1,0,0,1,1,1.2851733536376777
0,64150,872,133,81,1,0,0,1,1,3.7388109774741842
0,60100,94,-43,-52,2,2,0,1,1,0.8738131796554285
0,15870,312,31,26,1,0,0,0,1,3.87386765500473
0,134870,2096,-17,4,4,2,0,1,-1,-1.554644242362965
1,8670,151,-25,-58,0,0,0,0,1,2.308492888935511
0,5280,232,-43,5,0,0,0,0,1,2.0208698401971326
0,95050,860,-16,-22,2,0,0,1,1,4.00079534102208
1,11500,30,-3,-25,0,0,0,0,1,2.6693680035066016
0,73420,1202,53,96,5,2,0,1,1,0.2762475970616265
0,219070,475,15,-4,0,0,0,0,1,3.176466756193797
1,32110,427,9,2,1,1,0,1,1,6.213970953082097
0,64930,273,-35,-33,1,0,0,0,1,3.9104964870652417
1,664090,1824,-12,5,2,2,0,1,1,0.00033233177285296733
0,120690,150,-18,-43,0,0,0,1,1,2.1528462574509213
0,48930,769,54,46,0,0,0,1,1,3.1776313188443552
0,28130,347,-19,3,3,2,0,1,1,4.0874140169599436
0,36600,341,20,37,3,0,0,1,1,1.2959691965509563
0,28660,471,-3,-6,1,1,0,1,1,4.897241806511772
1,31710,352,-20,-9,2,2,0,1,1,3.1055385781294476
0,15130,372,18,51,0,0,0,1,1,2.1114158396903697
1,13120,19,-73,-81,0,0,0,0,1,0.19900418037441625
0,3610,154,-67,-55,0,0,0,0,1,1.5497327806031294
0,93120,1238,-32,-38,1,0,0,1,1,1.6881244850127857
1,134640,611,-41,-16,0,0,0,1,1,3.9336477413957454
0,2890,28,2,-30,0,0,0,0,1,2.0839568979157512
0,10870,220,-51,-40,0,0,0,1,1,1.7905456468458958
0,3330,37,-42,-39,2,2,0,0,-1,-0.00024170603975548488
1,23710,387,-32,-31,1,0,0,1,1,4.812849366119256
0,2290,29,-15,-28,0,0,0,0,1,2.089562284971638
0,54980,115,-72,-66,1,1,0,1,1,1.9180149571332485
1,6510,187,-35,-19,0,0,0,0,1,3.0837090584133016
1,40480,639,51,-2,0,0,0,1,1,4.869569132818317
0,33580,268,-39,-13,1,0,0,1,1,3.588955169960375
0,2390,50,-73,-77,0,0,0,0,1,0.6423898561369654
0,1189240,2159,-3,-12,3,2,0,1,-1,-4.559985166616267
0,2810,7,15,-82,0,0,0,0,1,0.448460956994591
0,302440,1250,-16,9,2,2,0,1,1,3.164843611122315
0,3890,46,81,15,0,0,0,0,1,1.418760105321656
1,11920,141,21,-60,1,1,0,0,1,2.7381252604994657
0,6920,158,-41,-32,0,0,0,1,1,1.8544089690335142
1,8190,64,-11,36,0,0,0,0,1,2.224957099009444
1,148160,1282,1,0,2,2,0,1,1,3.3862717867965166
1,29800,627,12,-4,0,0,0,1,1,4.794724898682006
1,12370,346,2,15,0,0,1,1,1,4.544615709046937
1,14300,275,33,14,0,0,0,0,1,4.078382124581026
0,715390,1923,36,36,1,1,0,1,1,2.896446541631864
1,25490,546,-18,2,0,0,0,1,1,4.351931569488627
1,42840,248,24,5,3,0,0,1,1,2.262284655264761
0,1766860,2899,32,18,0,0,0,1,-1,-8.121192910018584
1,127770,1141,7,24,4,2,0,1,1,5.037473868065895
1,8550,205,-15,-11,0,0,0,0,1,3.509816816885504
1,33540,570,-6,34,0,0,0,1,1,4.4026143283612775
0,25050,353,-7,-19,0,0,0,1,1,2.8633651083223164
0,48630,126,-48,-35,0,0,0,1,1,1.7648694182413713
0,7400,24,-23,-40,0,0,0,0,1,1.98105305636782
0,42560,379,-73,-57,1,0,0,0,1,2.7115553484987807
1,13060,81,96,-18,0,0,0,0,1,1.491940296447119
0,8670,216,-51,-32,0,0,0,1,1,1.8197759994166098
1,54820,585,-41,-37,3,1,0,1,1,4.583991609633198
1,27940,334,74,39,0,0,0,1,1,4.362235744929556
1,6920,100,-26,-69,0,0,0,0,1,1.6818185174507185
1,26740,583,83,60,2,2,1,1,1,2.9850792925685
0,9890,89,-63,-79,1,0,0,1,1,1.4186575111057742
0,18780,498,21,76,1,0,0,1,1,2.7561748110509967
0,811060,2877,45,28,2,2,0,1,-1,-3.8941607880718347
1,60910,882,55,62,2,0,0,1,1,5.641079487411574
0,9660,511,-4,47,0,0,0,0,1,2.0698932276812805
1,30980,480,11,0,0,0,0,1,1,4.754239443044035
1,42470,326,26,42,2,2,0,1,1,3.2640925104600242
0,112300,263,-55,-65,0,0,0,0,1,1.887318324330014
0,5050,55,99,38,0,0,0,0,1,1.1654625941916947
0,3250,127,-47,-20,0,0,0,0,1,2.0439807272943114
0,18240,87,-53,-72,2,1,0,1,1,2.3072621598688094
0,3510,27,-22,-35,0,0,0,0,1,2.0221733003783697
0,11890,475,23,10,0,0,0,1,1,3.0895565613997853
0,91420,774,-61,-49,4,1,0,1,1,1.9133636432021746
1,19040,50,7,0,0,0,0,0,1,2.9829474255477315
0,1380,56,-49,40,0,0,0,0,-1,-3.451678045607309e-05
0,8160,148,-51,-57,1,1,0,1,1,2.612684736245342
0,15170,414,-56,-54,0,0,0,1,1,1.660741303051143
1,179710,274,5,-42,4,3,0,1,1,0.3780008580610037
0,641120,1571,-17,6,1,1,0,1,1,2.8569176285947186
0,21760,250,-54,-48,2,2,0,1,1,1.2018970180432298
0,93020,2422,158,140,1,1,0,1,-1,-5.68891343647482
0,12960,194,27,3,0,0,0,0,1,2.7211577214544356
0,8380,47,-78,-85,1,0,0,1,1,0.694775908477741
0,37360,171,-21,0,1,0,0,0,1,3.5738972146005423
1,195510,321,-61,-57,1,0,0,0,1,2.9698278421464614
0,3650,41,-44,-46,1,0,0,0,1,2.6912200383749436
0,16360,149,-28,-63,1,1,0,1,1,2.7855031112495894
0,122640,979,10,21,6,4,0,1,-1,-3.5055204375567666
1,48650,73,-51,-51,0,0,0,0,1,1.989375071226359
1,48250,573,9,44,3,1,0,1,1,5.996647169348414
1,48440,76,86,11,0,0,0,0,1,2.5196354815447606
0,5890,301,-43,-13,0,0,0,0,1,2.4525491805005615
0,3460,47,14,18,0,0,0,0,1,1.837825819721246
1,8780,226,-10,-1,0,0,0,0,1,3.653353255370419
0,77040,772,143,-7,1,0,0,1,1,2.0578261260971935
1,37840,468,-57,-47,2,2,0,1,1,1.491737205524828
0,166180,448,-30,-19,1,1,0,1,1,4.800448977995039
0,207930,614,-6,18,2,2,0,1,1,3.940143803129903
2,34900,798,-12,30,0,0,2,1,-1,-0.3510517347859192
1,14390,329,34,36,0,0,0,0,1,4.117363441376792
0,18250,67,95,68,0,0,0,0,1,0.9930338955450573
1,14570,326,-8,-18,0,0,0,1,1,3.9400517548562064
0,25280,158,-54,-35,1,0,0,0,1,3.1167784452607137
0,41740,331,37,29,2,2,0,1,1,2.8060071676673424
1,58230,279,8,27,0,0,0,0,1,3.998412701622552
1,32830,85,33,31,0,0,0,0,1,3.0593300023506806
0,48560,726,105,58,0,0,0,1,1,3.113353750900977
0,70450,1244,145,58,0,0,0,1,1,1.3844161434671527
1,2580,94,-79,-62,0,0,0,0,1,0.9297512479544672
0,627380,3155,-1,54,1,1,0,1,-1,-4.483637545846086
1,10520,72,46,1,1,0,0,0,1,3.886618509594591
1,68130,162,-9,-9,2,2,0,1,1,2.5880057501483584
0,26960,540,101,112,0,0,0,1,1,1.9377804170739843
0,27630,733,-23,-27,0,0,0,1,1,2.3571612595788416
0,60200,449,32,24,5,3,0,1,1,2.310362282803922
1,23000,157,-28,-17,1,0,0,0,1,4.206539601649297
0,24900,159,-57,-29,0,0,0,0,1,2.050631526963919
0,42640,576,264,150,0,0,0,1,-1,-0.3257556607660881
1,34350,462,15,5,0,0,0,1,1,4.808828369191964
0,1950,19,-26,-52,0,0,0,0,1,1.75550964983346
0,3330,17,26,-58,0,0,0,0,1,1.2217731671961793
1,29550,486,-16,-13,0,0,0,1,1,4.2795817773872145
0,10300,144,13,-22,0,0,0,0,1,2.591784254473108
0,16840,318,-28,-17,0,0,0,1,1,2.5161951572511896
0,37580,574,33,23,0,0,0,1,1,3.282278331508973
1,18170,408,50,35,0,0,1,1,1,5.163220101477414
0,951410,1332,98,-7,0,0,0,1,-1,-2.7137088454936737
1,25850,595,100,83,0,0,1,1,1,5.272457075316439
1,348780,723,-23,4,1,1,0,0,1,4.464665086237197
0,1661100,1772,52,32,1,0,0,1,-1,-6.3911216659528485
1,105810,958,-27,-26,3,1,0,1,1,5.377780016665817
0,29290,235,-20,24,1,1,0,0,1,3.272502255045655
0,3320,98,-52,-44,0,0,0,0,1,1.8570011334580876
1,18510,289,-42,-42,0,0,0,1,1,2.8459264987985833
0,3510,19,22,-52,0,0,0,0,1,1.4743898327996732
1,11140,295,4,22,0,0,0,0,1,3.8949732182754886
0,368340,1325,-28,-4,1,0,0,1,1,2.8810734616937843
0,675030,1992,12,-14,4,1,0,1,-1,-6.794783677577243e-05
1,32830,1134,17,75,0,0,1,1,1,3.5425685245843432
0,117120,1095,-22,-24,3,2,0,1,1,4.188383702610839
0,63550,325,15,35,0,0,0,0,1,2.729036766899277
0,40210,193,-71,-59,1,0,0,0,1,2.5258930596946527
0,48530,485,90,87,2,1,0,1,1,3.545315186327521
1,11830,201,-27,-18,0,0,0,1,1,3.2241641155862375
1,1200,15,-79,-74,0,0,0,0,1,0.25280260713105207
1,29060,660,125,103,1,1,1,1,1,5.246422300181884
0,10590,256,-19,-2,0,0,0,1,1,2.386234549328634
1,6330,327,-33,4,0,0,0,0,1,3.4694717322599473
1,7400,206,-31,-15,0,0,0,0,1,3.246323948655899
1,21860,196,-16,-60,0,0,0,1,1,2.307261868404783
0,1256570,3289,86,88,3,2,0,1,-1,-9.467026369271615
0,498400,1647,-4,-8,1,1,0,1,1,3.143098365612083
0,22300,55,2,17,0,0,0,0,1,1.9048464347564327
2,26590,552,-34,-13,0,0,2,1,-1,-1.38970954504045
0,55130,800,88,61,0,0,0,1,1,3.145212810715474
0,10100,295,-35,16,0,0,0,1,1,1.8100595360175014
1,18680,586,-47,-44,2,1,0,1,1,4.818782502997895
0,2440,63,-10,58,0,0,0,0,1,0.24013280283355343
0,209760,919,46,89,0,0,0,0,1,1.7825891084424406
1,44770,770,-22,2,1,0,0,1,1,5.657357521530429
0,35800,341,16,38,0,0,0,1,1,2.4772646971327497
0,18410,30,-33,-61,0,0,0,0,1,1.6347534591360997
0,768080,2124,8,24,1,1,0,1,1,2.4234722954229575
1,30110,1068,199,207,1,0,1,0,1,0.9198819441153923
0,10250,177,-18,-29,0,0,0,0,1,2.6333902701454193
0,372380,1264,-26,-9,0,0,0,1,1,1.1485029564270484
1,6450,163,-30,-48,0,0,0,0,1,2.6116028511686267
0,45080,468,3,-6,3,2,0,1,1,4.853910674118783
0,58200,219,-27,-38,1,0,0,0,1,3.8163264535467896
0,17180,310,-50,-47,0,0,0,1,1,1.8952763007988338
0,11020,589,10,69,0,0,0,0,1,1.6237640123039832
1,140090,380,-40,-46,0,0,0,1,1,3.1111736140125643
0,56810,285,-35,-27,5,2,0,1,1,1.6054431508709932
0,39890,66,69,39,1,1,0,0,1,2.2985856718584223
2,22210,658,-48,0,0,0,1,1,-1,-0.09243652143250713
1,12430,32,14,-20,0,0,0,0,1,2.730314574945897
0,34150,346,17,38,2,1,0,1,1,4.880856989445537
0,1350,112,-80,-36,0,0,0,0,1,1.2037564350476337
0,441960,1006,-42,-33,3,0,0,1,1,0.7295959267964385
0,4390,16,95,-60,0,0,0,0,-1,-0.8193932734897125
0,12640,57,-63,-52,0,0,0,0,1,1.459914244945935
0,233810,839,-31,-24,0,0,0,1,1,2.3534880510743577
1,9450,349,1,12,0,0,0,0,1,4.114502879105608
1,18800,67,-51,-23,0,0,0,0,1,2.266730129320589
1,22930,328,88,36,0,0,0,0,1,3.931724725208383
2,25050,678,227,186,0,0,2,0,-1,-5.347379034577818
1,189170,371,9,22,1,0,0,1,1,5.8443937348998
0,9550,24,-86,-77,0,0,0,0,1,0.26145510331262045
0,28600,601,120,130,0,0,0,1,1,1.7648015795190695
0,434360,1584,-38,-60,2,0,0,1,-1,-6.214830901640767e-05
0,14070,504,25,81,0,0,0,1,1,1.4601697216537772
1,4170,224,-78,-64,0,0,0,1,1,0.9822625456520662
1,28520,483,-19,5,3,3,1,1,-1,-0.2237703250566092
0,90240,1080,177,77,0,0,0,1,1,1.6667755463890117
0,43490,352,26,24,0,0,0,1,1,2.9260278279632708
1,8190,325,-13,3,0,0,0,0,1,3.9000681234657293
2,24620,490,222,106,1,1,2,0,-1,-4.444603718372862
1,19420,591,9,29,0,0,0,1,1,4.728777943394668
0,4200,74,54,85,0,0,0,0,1,0.2953913994791044
0,29990,203,-55,-75,3,1,0,1,1,1.7243115038763364
0,1260100,2519,-12,-5,1,1,0,1,-1,-1.07509686689464
0,13250,32,-71,-79,0,0,0,0,1,0.6073318268563206
0,227990,734,-52,-59,2,1,0,1,1,4.204725242874339
0,17250,228,-11,-32,1,0,0,1,1,3.7142095695902704
0,23930,426,-20,-13,0,0,0,1,1,2.803106880865972
0,8450,121,-63,-70,0,0,0,1,1,0.732410256900522
0,26620,356,-18,-15,0,0,0,1,1,2.773126641273638
0,4760,94,-23,37,0,0,0,0,1,0.9995903369910586
1,8820,280,-4,-10,0,0,0,0,1,3.8808319844318184
0,42210,662,78,44,2,0,0,1,1,3.828308729070244
0,259110,1409,-11,46,1,1,0,1,1,3.4259996175656404
0,26400,510,13,9,0,0,0,1,1,3.1561064966370864
0,55890,1204,-3,34,5,0,0,1,-1,-3.977259505879111
0,2570,10,18,-75,0,0,0,0,1,0.7111545713255794
1,11230,383,19,22,0,0,0,0,1,4.316018181958373
0,8440,261,-30,6,0,0,0,0,1,2.3716247434157793
1,8660,205,16,188,1,0,1,0,-1,-3.4713817937744462
1,12580,120,-73,-74,1,1,0,0,1,1.2768618414144015
0,7160,182,-13,-34,0,0,0,0,1,2.6197414458628003
0,11610,315,-21,3,0,0,0,1,1,2.4348607425600193
0,72250,339,-70,-65,0,0,0,0,1,1.6285260231901084
0,45990,349,59,94,3,2,0,1,1,1.2146448603577795
0,18440,403,-50,-34,0,0,0,1,1,2.1183093489762896
0,3100,22,4,-45,0,0,0,0,1,1.85184127445374
0,4150,262,-64,-49,0,0,0,1,1,1.4194243487572287
1,15300,295,-40,-41,0,0,0,1,1,2.9111973385924763
0,40420,269,-42,-31,0,0,0,1,1,2.263620760353181
0,36020,487,15,18,1,1,0,1,1,4.940159153312724
0,46020,267,-18,6,1,0,0,0,1,3.8676046442183996
0,317360,1068,-36,-44,0,0,0,1,1,0.8830346314559208
2,81430,886,90,34,0,0,1,1,1,1.424807637584376
0,15640,326,67,1,1,1,0,0,1,3.6679459007151287
0,118860,1122,4,2,0,0,0,1,1,2.185800830781453
0,340,6,-87,-85,0,0,0,0,-1,-0.09842446124617155
0,8100,300,-12,35,0,0,0,0,1,2.015024166250331
1,12900,201,-50,-59,0,0,0,1,1,1.8962380648171688
2,52510,917,23,39,1,0,1,1,1,2.162412630048024
0,90330,913,98,75,4,2,0,1,1,2.5718526374007276
0,9920,221,37,36,0,0,0,0,1,2.3473087840878186
1,13000,311,-50,-36,0,0,0,1,1,2.809611736644353
1,40610,672,22,25,0,0,0,1,1,5.109643029958107
1,43270,673,29,28,0,0,0,1,1,5.190138668928377
0,172290,437,-57,-55,1,1,0,1,1,3.4457606727217076
0,270040,717,10,-14,2,2,0,1,1,3.94764529864786
1,73180,488,11,20,5,3,0,1,1,1.9249623316790974
1,18970,301,-27,-38,1,0,0,1,1,4.487795323706525
0,4170,181,-49,-34,0,0,0,0,1,2.1924065821323033
0,11740,46,-90,-96,1,0,0,1,-1,-0.09102190939944421
0,63760,195,-73,-65,0,0,0,1,1,0.9506450972458005
0,17050,404,-2,-30,1,1,0,1,1,4.49083057259185
0,34600,389,-13,6,4,0,0,1,-1,-0.9997515124806107
1,18820,396,-45,-28,0,0,0,1,1,3.265466996796551
0,41950,135,-39,-36,1,0,0,0,1,3.3801432455579175
0,2430,19,-24,-52,0,0,0,0,1,1.7651597603676166
0,45180,370,98,44,4,2,0,1,1,2.158717544106409
1,32690,380,-31,-5,2,2,0,1,1,2.97140589388194
1,29520,779,-28,-32,0,0,0,1,1,3.348753796270614
1,7170,170,-27,-26,0,0,0,0,1,3.105375061521773
0,18580,753,-7,25,0,0,0,1,1,2.437631122905003
0,119460,269,-70,-64,0,0,0,0,1,1.569743949756301
0,31450,286,47,-40,0,0,0,1,1,2.048485356792039
0,4380,134,-60,-31,0,0,0,0,1,1.8352958576260185
0,6660,274,-29,-15,0,0,0,0,1,2.696295164198858
2,45020,936,-1,35,1,0,1,1,1,1.6663645124474868
1,19810,364,-34,-12,0,0,0,1,1,3.6630532937984697
0,28020,51,12,-14,0,0,0,0,1,2.3083320586947806
0,1371400,3040,91,63,1,1,0,1,-1,-5.004303430586523
0,66680,430,-17,9,2,1,0,1,1,5.64496915744872
1,21510,290,72,16,1,0,0,0,1,4.8784497760782415
0,20150,64,-51,-62,1,0,0,0,1,2.4496835497399765
0,3990,231,66,98,0,0,0,0,1,0.7969102689671921
1,253510,2069,98,76,4,2,0,1,-1,-1.6224257443741443
0,32130,427,18,13,0,0,0,1,1,3.10998422236392
0,77540,174,-75,-73,0,0,0,0,1,1.1258474287715288
0,6370,34,-68,-39,0,0,0,0,1,1.3285539072421528
0,9710,248,-72,-57,0,0,0,1,1,1.0815807760579652
0,2360,16,-54,-71,0,0,0,0,1,1.054605160776351
1,69230,955,162,106,2,0,1,1,1,3.8195848551516534
0,69660,362,-10,-8,2,2,0,1,1,3.2896871994502206
