seismoacoustic_max,genergy_max,gplus_max,gdenergy_max,gdpuls_max,bumps_max,bumps2_max,seismoacoustic_min,genergy_min,gplus_min,gdenergy_min,gdpuls_min,bumps_min,bumps2_min,hazard,shift
1,8060,57,-68,-80,1,0,1,7400,47,-81,-86,1,0,0,0
0,41120,132,-17,-39,0,0,0,2940,24,-27,-50,0,0,0,0
1,34050,68,44,23,0,0,1,14670,44,23,10,0,0,0,0
1,67210,420,-31,-32,1,0,1,67210,420,-31,-32,1,0,0,0
0,11020,589,10,69,0,0,0,11020,589,10,69,0,0,0,0
0,4760,94,-23,53,0,0,0,4410,76,-23,37,0,0,0,0
1,6920,127,-26,-59,0,0,1,4120,67,-43,-69,0,0,0,0
0,45630,155,55,52,0,0,0,10850,131,49,49,0,0,0,0
0,15640,326,67,1,1,1,0,15640,326,67,1,1,1,0,0
0,25510,154,-63,-50,0,0,0,750,15,-83,-62,0,0,0,0
0,15840,436,35,74,0,0,0,9280,294,27,71,0,0,0,0
1,195510,321,-61,-57,1,0,1,195510,321,-61,-57,1,0,0,0
0,30650,80,38,66,1,1,0,30650,80,38,66,1,1,0,0
0,14000,160,81,-12,0,0,0,5090,35,63,-20,0,0,0,0
0,1490,10,-37,-75,0,0,0,950,4,-54,-90,0,0,0,0
1,1860,33,-78,-30,1,0,1,1860,33,-78,-30,1,0,0,0
0,7560,513,-25,47,1,1,0,7560,513,-25,47,1,1,0,0
0,12340,125,-76,-73,1,1,0,1150,18,-88,-79,1,1,0,0
0,20700,91,-9,-16,0,0,0,1920,30,-29,-25,0,0,0,0
1,94110,314,-76,-58,0,0,1,94110,314,-76,-58,0,0,0,0
1,12580,120,-73,-74,1,1,1,12580,120,-73,-74,1,1,0,0
1,8690,92,-12,-74,1,0,1,8690,92,-12,-74,1,0,0,0
0,12760,35,-9,-28,0,0,0,2290,25,-22,-38,0,0,0,0
0,112300,339,-55,-65,0,0,0,58850,174,-75,-74,0,0,0,0
1,11550,204,8,-16,1,1,1,11550,204,8,-16,1,1,0,0
0,12490,133,-59,-33,1,1,0,8760,122,-59,-39,1,1,0,0
0,8100,300,-12,37,0,0,0,5480,223,-21,27,0,0,0,0
1,13060,81,96,-18,0,0,1,13060,81,96,-18,0,0,0,0
0,16210,44,-37,-6,1,0,0,16210,44,-37,-6,1,0,0,0
1,12430,32,14,-20,0,0,1,10760,27,-3,-32,0,0,0,0
1,11150,321,16,3,0,0,1,10540,201,11,-12,0,0,0,0
1,5380,90,-18,58,1,0,1,5380,90,-18,58,1,0,0,0
0,26510,162,-42,-55,0,0,0,1560,15,-55,-64,0,0,0,0
0,12960,194,31,7,0,0,0,8680,188,27,3,0,0,0,0
0,18870,47,-19,-3,2,1,0,5550,44,-31,-12,2,1,0,0
0,5590,261,-40,-16,1,1,0,5590,261,-40,-16,1,1,0,0
0,54990,216,15,-18,0,0,0,7410,133,1,-33,0,0,0,0
1,8190,64,-11,36,0,0,1,8190,64,-11,36,0,0,0,0
0,38800,38,17,-45,2,1,0,38800,38,17,-45,2,1,0,0
0,18790,322,101,0,0,0,0,18790,322,101,0,0,0,0,0
1,16060,335,83,74,0,0,1,16060,335,83,74,0,0,0,0
0,147520,472,-2,-6,0,0,0,147520,472,-2,-6,0,0,0,0
0,63550,422,28,35,0,0,0,10410,245,4,20,0,0,0,0
1,10920,136,58,-16,1,1,1,10920,136,58,-16,1,1,0,0
1,14300,336,37,14,0,0,1,11730,275,33,3,0,0,0,0
0,25580,120,-44,-46,1,0,0,3650,24,-59,-69,1,0,0,0
0,3890,46,81,15,0,0,0,3720,43,75,8,0,0,0,0
1,390180,938,6,33,0,0,1,390180,938,6,33,0,0,0,0
0,9280,43,-57,-90,1,0,0,290,3,-67,-92,1,0,0,0
0,13640,210,123,33,0,0,0,13640,210,123,33,0,0,0,0
0,14610,381,56,18,0,0,0,14170,373,52,15,0,0,0,0
0,18410,30,-14,-50,0,0,0,1950,16,-33,-61,0,0,0,0
0,64540,239,11,23,1,0,0,9840,215,-6,6,1,0,0,0
0,5180,73,-74,-51,1,1,0,5180,73,-74,-51,1,1,0,0
0,1150,6,-59,-85,0,0,0,430,2,-71,-95,0,0,0,0
0,13960,83,-78,-66,0,0,0,1620,21,-85,-75,0,0,0,0
0,104390,331,91,29,0,0,0,104390,331,91,29,0,0,0,0
1,51620,186,51,34,1,0,1,51620,186,51,34,1,0,0,0
0,2210,34,-64,-51,2,1,0,2210,34,-64,-51,2,1,0,0
0,12070,342,17,20,1,1,0,10720,271,-5,9,1,1,0,0
0,65250,450,-74,-70,0,0,0,65250,450,-74,-70,0,0,0,0
0,72300,155,-14,-82,1,0,0,72300,155,-14,-82,1,0,0,0
0,96080,433,60,92,0,0,0,96080,433,60,92,0,0,0,0
0,44180,361,-9,13,0,0,0,7290,185,-20,-2,0,0,0,0
1,9860,324,7,46,0,0,1,9860,324,7,46,0,0,0,0
0,28820,171,-23,40,1,0,0,28820,171,-23,40,1,0,0,0
0,42300,55,37,-10,1,0,0,42300,55,37,-10,1,0,0,0
0,54750,233,-38,-34,0,0,0,4170,117,-50,-48,0,0,0,0
1,22930,446,88,47,0,0,1,15290,328,75,36,0,0,0,0
1,12840,471,37,51,1,1,1,12290,471,30,49,1,1,0,0
1,68200,137,-5,-38,0,0,1,68200,137,-5,-38,0,0,0,0
0,3180,11,18,-72,0,0,0,2290,6,-7,-85,0,0,0,0
1,3530,164,-71,-40,0,0,1,2000,130,-80,-58,0,0,0,0
0,5640,58,6,17,1,0,0,5640,58,6,17,1,0,0,0
0,9050,67,-79,-78,0,0,0,500,7,-89,-87,0,0,0,0
0,29500,92,-21,6,1,1,0,29500,92,-21,6,1,1,0,0
0,100190,303,54,52,0,0,0,100190,303,54,52,0,0,0,0
1,60460,191,56,29,0,0,1,60460,191,56,29,0,0,0,0
1,8670,163,-25,-43,0,0,1,6450,130,-30,-58,0,0,0,0
0,9990,118,17,-56,1,0,0,9990,118,17,-56,1,0,0,0
0,42820,150,28,9,1,0,0,42820,150,28,9,1,0,0,0
0,11440,184,-68,-28,0,0,0,650,80,-82,-47,0,0,0,0
0,3960,35,-14,-27,1,0,0,3960,35,-14,-27,1,0,0,0
0,3840,13,60,-68,0,0,0,3390,13,55,-68,0,0,0,0
0,7330,102,10,-38,0,0,0,2760,22,-7,-45,0,0,0,0
0,12880,77,-35,12,0,0,0,3860,62,-38,12,0,0,0,0
0,12240,452,33,104,0,0,0,11080,343,33,104,0,0,0,0
0,26800,94,-18,-49,1,0,0,26800,94,-18,-49,1,0,0,0
1,2190,29,-69,-42,1,1,1,1630,26,-72,-44,1,1,0,0
1,6930,98,-45,-72,0,0,1,4040,68,-57,-73,0,0,0,0
0,6170,187,-29,-10,0,0,0,5180,167,-43,-16,0,0,0,0
1,45150,140,24,0,0,0,1,19040,50,7,-4,0,0,0,0
0,9980,170,-54,-13,1,0,0,9980,170,-54,-13,1,0,0,0
0,42560,379,-73,-57,1,0,0,42560,379,-73,-57,1,0,0,0
0,12470,124,73,-35,0,0,0,4080,19,61,-52,0,0,0,0
1,19500,678,112,122,0,0,1,19500,678,112,122,0,0,0,0
1,19030,46,20,0,1,0,1,19030,46,20,0,1,0,0,0
0,3280,40,-41,-23,1,1,0,3280,40,-41,-23,1,1,0,0
0,39660,86,80,87,0,0,0,39660,86,80,87,0,0,0,0
0,15180,118,-69,-65,0,0,0,1070,17,-76,-72,0,0,0,0
1,69360,258,-74,-65,1,0,1,25710,257,-81,-74,1,0,0,0
0,9660,511,-4,47,0,0,0,9660,511,-4,47,0,0,0,0
0,15600,548,67,83,0,0,0,15600,548,67,83,0,0,0,0
1,10320,172,4,-51,0,0,1,10320,172,4,-51,0,0,0,0
1,32240,61,65,18,0,0,1,32240,61,65,18,0,0,0,0
1,9530,206,-21,-15,0,0,1,6510,163,-35,-29,0,0,0,0
0,12560,469,0,88,0,0,0,12560,469,0,88,0,0,0,0
0,13880,248,18,2,0,0,0,2840,115,9,-10,0,0,0,0
0,73030,240,25,7,0,0,0,73030,240,25,7,0,0,0,0
2,52680,985,33,60,1,0,2,52680,985,33,60,1,0,2,1
2,63410,847,57,33,1,1,2,51740,767,28,21,1,1,2,1
2,54500,757,35,39,0,0,2,34360,730,10,19,0,0,2,1
1,66510,320,134,142,2,1,1,3080,35,-70,-66,0,0,1,0
1,35370,656,41,5,1,1,1,30810,591,23,-5,1,1,2,0
